url,Reference,A,B
http://catamaran2.usc.edu:9999/TaskB/,10.png,114.png,153.png
http://catamaran2.usc.edu:9999/TaskB/,136.png,35.png,85.png
http://catamaran2.usc.edu:9999/TaskB/,163.png,61.png,119.png
http://catamaran2.usc.edu:9999/TaskB/,52.png,175.png,178.png
http://catamaran2.usc.edu:9999/TaskB/,143.png,14.png,173.png
http://catamaran2.usc.edu:9999/TaskB/,175.png,2.png,113.png
http://catamaran2.usc.edu:9999/TaskB/,72.png,27.png,71.png
http://catamaran2.usc.edu:9999/TaskB/,76.png,126.png,172.png
http://catamaran2.usc.edu:9999/TaskB/,115.png,97.png,107.png
http://catamaran2.usc.edu:9999/TaskB/,168.png,76.png,170.png
http://catamaran2.usc.edu:9999/TaskB/,141.png,64.png,120.png
http://catamaran2.usc.edu:9999/TaskB/,24.png,33.png,53.png
http://catamaran2.usc.edu:9999/TaskB/,119.png,61.png,109.png
http://catamaran2.usc.edu:9999/TaskB/,30.png,45.png,71.png
http://catamaran2.usc.edu:9999/TaskB/,68.png,37.png,114.png
http://catamaran2.usc.edu:9999/TaskB/,139.png,2.png,130.png
http://catamaran2.usc.edu:9999/TaskB/,138.png,37.png,106.png
http://catamaran2.usc.edu:9999/TaskB/,102.png,12.png,17.png
http://catamaran2.usc.edu:9999/TaskB/,166.png,73.png,103.png
http://catamaran2.usc.edu:9999/TaskB/,14.png,1.png,121.png
http://catamaran2.usc.edu:9999/TaskB/,137.png,144.png,165.png
http://catamaran2.usc.edu:9999/TaskB/,178.png,151.png,159.png
http://catamaran2.usc.edu:9999/TaskB/,146.png,30.png,178.png
http://catamaran2.usc.edu:9999/TaskB/,87.png,122.png,138.png
http://catamaran2.usc.edu:9999/TaskB/,48.png,15.png,75.png
http://catamaran2.usc.edu:9999/TaskB/,45.png,40.png,95.png
http://catamaran2.usc.edu:9999/TaskB/,8.png,84.png,90.png
http://catamaran2.usc.edu:9999/TaskB/,176.png,15.png,33.png
http://catamaran2.usc.edu:9999/TaskB/,93.png,13.png,167.png
http://catamaran2.usc.edu:9999/TaskB/,171.png,51.png,95.png
http://catamaran2.usc.edu:9999/TaskB/,7.png,13.png,37.png
http://catamaran2.usc.edu:9999/TaskB/,57.png,100.png,144.png
http://catamaran2.usc.edu:9999/TaskB/,138.png,67.png,152.png
http://catamaran2.usc.edu:9999/TaskB/,41.png,97.png,137.png
http://catamaran2.usc.edu:9999/TaskB/,174.png,63.png,162.png
http://catamaran2.usc.edu:9999/TaskB/,44.png,100.png,129.png
http://catamaran2.usc.edu:9999/TaskB/,71.png,62.png,175.png
http://catamaran2.usc.edu:9999/TaskB/,176.png,20.png,154.png
http://catamaran2.usc.edu:9999/TaskB/,82.png,50.png,60.png
http://catamaran2.usc.edu:9999/TaskB/,5.png,96.png,101.png
http://catamaran2.usc.edu:9999/TaskB/,47.png,89.png,158.png
http://catamaran2.usc.edu:9999/TaskB/,122.png,98.png,176.png
http://catamaran2.usc.edu:9999/TaskB/,50.png,42.png,94.png
http://catamaran2.usc.edu:9999/TaskB/,63.png,62.png,130.png
http://catamaran2.usc.edu:9999/TaskB/,6.png,100.png,136.png
http://catamaran2.usc.edu:9999/TaskB/,158.png,136.png,156.png
http://catamaran2.usc.edu:9999/TaskB/,33.png,126.png,139.png
http://catamaran2.usc.edu:9999/TaskB/,112.png,150.png,168.png
http://catamaran2.usc.edu:9999/TaskB/,149.png,39.png,45.png
http://catamaran2.usc.edu:9999/TaskB/,55.png,40.png,119.png
http://catamaran2.usc.edu:9999/TaskB/,55.png,71.png,118.png
http://catamaran2.usc.edu:9999/TaskB/,136.png,60.png,79.png
http://catamaran2.usc.edu:9999/TaskB/,110.png,69.png,95.png
http://catamaran2.usc.edu:9999/TaskB/,121.png,110.png,171.png
http://catamaran2.usc.edu:9999/TaskB/,85.png,120.png,176.png
http://catamaran2.usc.edu:9999/TaskB/,176.png,45.png,130.png
http://catamaran2.usc.edu:9999/TaskB/,18.png,2.png,70.png
http://catamaran2.usc.edu:9999/TaskB/,45.png,138.png,143.png
http://catamaran2.usc.edu:9999/TaskB/,13.png,25.png,74.png
http://catamaran2.usc.edu:9999/TaskB/,128.png,18.png,125.png
http://catamaran2.usc.edu:9999/TaskB/,45.png,126.png,151.png
http://catamaran2.usc.edu:9999/TaskB/,61.png,20.png,60.png
http://catamaran2.usc.edu:9999/TaskB/,75.png,23.png,86.png
http://catamaran2.usc.edu:9999/TaskB/,21.png,2.png,11.png
http://catamaran2.usc.edu:9999/TaskB/,28.png,15.png,93.png
http://catamaran2.usc.edu:9999/TaskB/,7.png,31.png,53.png
http://catamaran2.usc.edu:9999/TaskB/,153.png,16.png,47.png
http://catamaran2.usc.edu:9999/TaskB/,154.png,20.png,159.png
http://catamaran2.usc.edu:9999/TaskB/,38.png,74.png,105.png
http://catamaran2.usc.edu:9999/TaskB/,116.png,14.png,28.png
http://catamaran2.usc.edu:9999/TaskB/,41.png,46.png,87.png
http://catamaran2.usc.edu:9999/TaskB/,78.png,15.png,111.png
http://catamaran2.usc.edu:9999/TaskB/,92.png,16.png,83.png
http://catamaran2.usc.edu:9999/TaskB/,70.png,62.png,96.png
http://catamaran2.usc.edu:9999/TaskB/,65.png,56.png,68.png
http://catamaran2.usc.edu:9999/TaskB/,10.png,60.png,79.png
http://catamaran2.usc.edu:9999/TaskB/,49.png,30.png,55.png
http://catamaran2.usc.edu:9999/TaskB/,150.png,24.png,140.png
http://catamaran2.usc.edu:9999/TaskB/,65.png,78.png,91.png
http://catamaran2.usc.edu:9999/TaskB/,99.png,15.png,52.png
http://catamaran2.usc.edu:9999/TaskB/,78.png,54.png,171.png
http://catamaran2.usc.edu:9999/TaskB/,114.png,169.png,173.png
http://catamaran2.usc.edu:9999/TaskB/,43.png,51.png,177.png
http://catamaran2.usc.edu:9999/TaskB/,25.png,2.png,46.png
http://catamaran2.usc.edu:9999/TaskB/,117.png,128.png,167.png
http://catamaran2.usc.edu:9999/TaskB/,71.png,104.png,169.png
http://catamaran2.usc.edu:9999/TaskB/,147.png,81.png,158.png
http://catamaran2.usc.edu:9999/TaskB/,95.png,73.png,100.png
http://catamaran2.usc.edu:9999/TaskB/,88.png,153.png,154.png
http://catamaran2.usc.edu:9999/TaskB/,41.png,16.png,104.png
http://catamaran2.usc.edu:9999/TaskB/,62.png,132.png,172.png
http://catamaran2.usc.edu:9999/TaskB/,131.png,50.png,178.png
http://catamaran2.usc.edu:9999/TaskB/,1.png,10.png,35.png
http://catamaran2.usc.edu:9999/TaskB/,92.png,53.png,164.png
http://catamaran2.usc.edu:9999/TaskB/,73.png,71.png,91.png
http://catamaran2.usc.edu:9999/TaskB/,145.png,89.png,154.png
http://catamaran2.usc.edu:9999/TaskB/,12.png,15.png,120.png
http://catamaran2.usc.edu:9999/TaskB/,1.png,148.png,175.png
http://catamaran2.usc.edu:9999/TaskB/,155.png,45.png,167.png
http://catamaran2.usc.edu:9999/TaskB/,47.png,63.png,165.png
http://catamaran2.usc.edu:9999/TaskB/,40.png,41.png,142.png
http://catamaran2.usc.edu:9999/TaskB/,34.png,65.png,154.png
http://catamaran2.usc.edu:9999/TaskB/,76.png,49.png,130.png
http://catamaran2.usc.edu:9999/TaskB/,163.png,14.png,161.png
http://catamaran2.usc.edu:9999/TaskB/,47.png,101.png,178.png
http://catamaran2.usc.edu:9999/TaskB/,78.png,90.png,108.png
http://catamaran2.usc.edu:9999/TaskB/,66.png,94.png,149.png
http://catamaran2.usc.edu:9999/TaskB/,56.png,50.png,145.png
http://catamaran2.usc.edu:9999/TaskB/,58.png,83.png,134.png
http://catamaran2.usc.edu:9999/TaskB/,168.png,56.png,161.png
http://catamaran2.usc.edu:9999/TaskB/,17.png,54.png,66.png
http://catamaran2.usc.edu:9999/TaskB/,121.png,136.png,152.png
http://catamaran2.usc.edu:9999/TaskB/,117.png,88.png,140.png
http://catamaran2.usc.edu:9999/TaskB/,90.png,46.png,159.png
http://catamaran2.usc.edu:9999/TaskB/,16.png,91.png,156.png
http://catamaran2.usc.edu:9999/TaskB/,90.png,1.png,95.png
http://catamaran2.usc.edu:9999/TaskB/,107.png,2.png,45.png
http://catamaran2.usc.edu:9999/TaskB/,154.png,88.png,115.png
http://catamaran2.usc.edu:9999/TaskB/,110.png,25.png,38.png
http://catamaran2.usc.edu:9999/TaskB/,168.png,10.png,90.png
http://catamaran2.usc.edu:9999/TaskB/,147.png,30.png,118.png
http://catamaran2.usc.edu:9999/TaskB/,138.png,29.png,132.png
http://catamaran2.usc.edu:9999/TaskB/,7.png,160.png,177.png
http://catamaran2.usc.edu:9999/TaskB/,59.png,99.png,107.png
http://catamaran2.usc.edu:9999/TaskB/,134.png,26.png,59.png
http://catamaran2.usc.edu:9999/TaskB/,164.png,49.png,139.png
http://catamaran2.usc.edu:9999/TaskB/,16.png,18.png,129.png
http://catamaran2.usc.edu:9999/TaskB/,132.png,63.png,135.png
http://catamaran2.usc.edu:9999/TaskB/,141.png,125.png,172.png
http://catamaran2.usc.edu:9999/TaskB/,169.png,94.png,166.png
http://catamaran2.usc.edu:9999/TaskB/,163.png,81.png,145.png
http://catamaran2.usc.edu:9999/TaskB/,63.png,26.png,38.png
http://catamaran2.usc.edu:9999/TaskB/,106.png,15.png,89.png
http://catamaran2.usc.edu:9999/TaskB/,68.png,15.png,117.png
http://catamaran2.usc.edu:9999/TaskB/,137.png,86.png,105.png
http://catamaran2.usc.edu:9999/TaskB/,88.png,96.png,173.png
http://catamaran2.usc.edu:9999/TaskB/,92.png,51.png,121.png
http://catamaran2.usc.edu:9999/TaskB/,151.png,109.png,136.png
http://catamaran2.usc.edu:9999/TaskB/,68.png,62.png,138.png
http://catamaran2.usc.edu:9999/TaskB/,12.png,61.png,74.png
http://catamaran2.usc.edu:9999/TaskB/,43.png,19.png,95.png
http://catamaran2.usc.edu:9999/TaskB/,141.png,51.png,145.png
http://catamaran2.usc.edu:9999/TaskB/,18.png,65.png,91.png
http://catamaran2.usc.edu:9999/TaskB/,68.png,16.png,76.png
http://catamaran2.usc.edu:9999/TaskB/,58.png,43.png,169.png
http://catamaran2.usc.edu:9999/TaskB/,44.png,58.png,137.png
http://catamaran2.usc.edu:9999/TaskB/,79.png,78.png,114.png
http://catamaran2.usc.edu:9999/TaskB/,37.png,65.png,133.png
http://catamaran2.usc.edu:9999/TaskB/,123.png,99.png,160.png
http://catamaran2.usc.edu:9999/TaskB/,174.png,50.png,154.png
http://catamaran2.usc.edu:9999/TaskB/,67.png,81.png,83.png
http://catamaran2.usc.edu:9999/TaskB/,126.png,29.png,60.png
http://catamaran2.usc.edu:9999/TaskB/,135.png,1.png,114.png
http://catamaran2.usc.edu:9999/TaskB/,119.png,135.png,157.png
http://catamaran2.usc.edu:9999/TaskB/,1.png,14.png,44.png
http://catamaran2.usc.edu:9999/TaskB/,25.png,31.png,72.png
http://catamaran2.usc.edu:9999/TaskB/,69.png,18.png,44.png
http://catamaran2.usc.edu:9999/TaskB/,93.png,153.png,176.png
http://catamaran2.usc.edu:9999/TaskB/,21.png,45.png,64.png
http://catamaran2.usc.edu:9999/TaskB/,32.png,127.png,131.png
http://catamaran2.usc.edu:9999/TaskB/,5.png,90.png,121.png
http://catamaran2.usc.edu:9999/TaskB/,86.png,3.png,28.png
http://catamaran2.usc.edu:9999/TaskB/,50.png,12.png,108.png
http://catamaran2.usc.edu:9999/TaskB/,2.png,3.png,124.png
http://catamaran2.usc.edu:9999/TaskB/,174.png,104.png,129.png
http://catamaran2.usc.edu:9999/TaskB/,97.png,43.png,98.png
http://catamaran2.usc.edu:9999/TaskB/,79.png,18.png,136.png
http://catamaran2.usc.edu:9999/TaskB/,160.png,88.png,119.png
http://catamaran2.usc.edu:9999/TaskB/,103.png,36.png,47.png
http://catamaran2.usc.edu:9999/TaskB/,55.png,9.png,58.png
http://catamaran2.usc.edu:9999/TaskB/,143.png,14.png,75.png
http://catamaran2.usc.edu:9999/TaskB/,112.png,133.png,157.png
http://catamaran2.usc.edu:9999/TaskB/,69.png,114.png,165.png
http://catamaran2.usc.edu:9999/TaskB/,119.png,35.png,137.png
http://catamaran2.usc.edu:9999/TaskB/,72.png,10.png,76.png
http://catamaran2.usc.edu:9999/TaskB/,84.png,47.png,82.png
http://catamaran2.usc.edu:9999/TaskB/,15.png,174.png,175.png
http://catamaran2.usc.edu:9999/TaskB/,176.png,80.png,164.png
http://catamaran2.usc.edu:9999/TaskB/,152.png,113.png,143.png
http://catamaran2.usc.edu:9999/TaskB/,21.png,4.png,153.png
http://catamaran2.usc.edu:9999/TaskB/,158.png,53.png,65.png
http://catamaran2.usc.edu:9999/TaskB/,24.png,123.png,168.png
http://catamaran2.usc.edu:9999/TaskB/,152.png,19.png,127.png
http://catamaran2.usc.edu:9999/TaskB/,106.png,10.png,40.png
http://catamaran2.usc.edu:9999/TaskB/,6.png,34.png,163.png
http://catamaran2.usc.edu:9999/TaskB/,67.png,43.png,73.png
http://catamaran2.usc.edu:9999/TaskB/,78.png,12.png,72.png
http://catamaran2.usc.edu:9999/TaskB/,42.png,147.png,169.png
http://catamaran2.usc.edu:9999/TaskB/,130.png,60.png,87.png
http://catamaran2.usc.edu:9999/TaskB/,168.png,89.png,153.png
http://catamaran2.usc.edu:9999/TaskB/,24.png,127.png,164.png
http://catamaran2.usc.edu:9999/TaskB/,46.png,84.png,129.png
http://catamaran2.usc.edu:9999/TaskB/,142.png,21.png,107.png
http://catamaran2.usc.edu:9999/TaskB/,123.png,28.png,59.png
http://catamaran2.usc.edu:9999/TaskB/,72.png,3.png,67.png
http://catamaran2.usc.edu:9999/TaskB/,31.png,19.png,87.png
http://catamaran2.usc.edu:9999/TaskB/,56.png,34.png,157.png
http://catamaran2.usc.edu:9999/TaskB/,168.png,100.png,124.png
http://catamaran2.usc.edu:9999/TaskB/,113.png,39.png,165.png
http://catamaran2.usc.edu:9999/TaskB/,70.png,90.png,178.png
http://catamaran2.usc.edu:9999/TaskB/,81.png,37.png,138.png
http://catamaran2.usc.edu:9999/TaskB/,88.png,67.png,144.png
http://catamaran2.usc.edu:9999/TaskB/,54.png,103.png,126.png
http://catamaran2.usc.edu:9999/TaskB/,118.png,109.png,137.png
http://catamaran2.usc.edu:9999/TaskB/,59.png,58.png,97.png
http://catamaran2.usc.edu:9999/TaskB/,45.png,41.png,59.png
http://catamaran2.usc.edu:9999/TaskB/,68.png,87.png,130.png
http://catamaran2.usc.edu:9999/TaskB/,138.png,3.png,29.png
http://catamaran2.usc.edu:9999/TaskB/,140.png,142.png,149.png
http://catamaran2.usc.edu:9999/TaskB/,173.png,89.png,163.png
http://catamaran2.usc.edu:9999/TaskB/,76.png,3.png,10.png
http://catamaran2.usc.edu:9999/TaskB/,61.png,29.png,44.png
http://catamaran2.usc.edu:9999/TaskB/,120.png,75.png,163.png
http://catamaran2.usc.edu:9999/TaskB/,44.png,81.png,108.png
http://catamaran2.usc.edu:9999/TaskB/,100.png,9.png,125.png
http://catamaran2.usc.edu:9999/TaskB/,96.png,91.png,161.png
http://catamaran2.usc.edu:9999/TaskB/,158.png,64.png,111.png
http://catamaran2.usc.edu:9999/TaskB/,115.png,71.png,78.png
http://catamaran2.usc.edu:9999/TaskB/,72.png,144.png,167.png
http://catamaran2.usc.edu:9999/TaskB/,69.png,147.png,149.png
http://catamaran2.usc.edu:9999/TaskB/,36.png,56.png,78.png
http://catamaran2.usc.edu:9999/TaskB/,168.png,19.png,116.png
http://catamaran2.usc.edu:9999/TaskB/,142.png,58.png,178.png
http://catamaran2.usc.edu:9999/TaskB/,122.png,29.png,62.png
http://catamaran2.usc.edu:9999/TaskB/,43.png,108.png,112.png
http://catamaran2.usc.edu:9999/TaskB/,56.png,42.png,57.png
http://catamaran2.usc.edu:9999/TaskB/,110.png,36.png,46.png
http://catamaran2.usc.edu:9999/TaskB/,54.png,92.png,164.png
http://catamaran2.usc.edu:9999/TaskB/,172.png,82.png,86.png
http://catamaran2.usc.edu:9999/TaskB/,78.png,131.png,147.png
http://catamaran2.usc.edu:9999/TaskB/,87.png,52.png,157.png
http://catamaran2.usc.edu:9999/TaskB/,6.png,117.png,162.png
http://catamaran2.usc.edu:9999/TaskB/,53.png,13.png,54.png
http://catamaran2.usc.edu:9999/TaskB/,15.png,36.png,161.png
http://catamaran2.usc.edu:9999/TaskB/,156.png,16.png,82.png
http://catamaran2.usc.edu:9999/TaskB/,27.png,4.png,89.png
http://catamaran2.usc.edu:9999/TaskB/,177.png,126.png,127.png
http://catamaran2.usc.edu:9999/TaskB/,166.png,30.png,112.png
http://catamaran2.usc.edu:9999/TaskB/,160.png,146.png,148.png
http://catamaran2.usc.edu:9999/TaskB/,94.png,1.png,69.png
http://catamaran2.usc.edu:9999/TaskB/,151.png,109.png,122.png
http://catamaran2.usc.edu:9999/TaskB/,72.png,23.png,154.png
http://catamaran2.usc.edu:9999/TaskB/,165.png,39.png,87.png
http://catamaran2.usc.edu:9999/TaskB/,23.png,37.png,62.png
http://catamaran2.usc.edu:9999/TaskB/,127.png,83.png,129.png
http://catamaran2.usc.edu:9999/TaskB/,95.png,36.png,62.png
http://catamaran2.usc.edu:9999/TaskB/,79.png,4.png,157.png
http://catamaran2.usc.edu:9999/TaskB/,177.png,81.png,148.png
http://catamaran2.usc.edu:9999/TaskB/,39.png,121.png,128.png
http://catamaran2.usc.edu:9999/TaskB/,82.png,117.png,144.png
http://catamaran2.usc.edu:9999/TaskB/,27.png,3.png,142.png
http://catamaran2.usc.edu:9999/TaskB/,151.png,95.png,100.png
http://catamaran2.usc.edu:9999/TaskB/,63.png,145.png,150.png
http://catamaran2.usc.edu:9999/TaskB/,33.png,39.png,111.png
http://catamaran2.usc.edu:9999/TaskB/,100.png,34.png,147.png
http://catamaran2.usc.edu:9999/TaskB/,45.png,115.png,155.png
http://catamaran2.usc.edu:9999/TaskB/,108.png,70.png,84.png
http://catamaran2.usc.edu:9999/TaskB/,145.png,20.png,36.png
http://catamaran2.usc.edu:9999/TaskB/,169.png,11.png,117.png
http://catamaran2.usc.edu:9999/TaskB/,53.png,82.png,86.png
http://catamaran2.usc.edu:9999/TaskB/,4.png,33.png,95.png
http://catamaran2.usc.edu:9999/TaskB/,146.png,77.png,92.png
http://catamaran2.usc.edu:9999/TaskB/,12.png,39.png,107.png
http://catamaran2.usc.edu:9999/TaskB/,54.png,13.png,71.png
http://catamaran2.usc.edu:9999/TaskB/,17.png,58.png,98.png
http://catamaran2.usc.edu:9999/TaskB/,130.png,8.png,150.png
http://catamaran2.usc.edu:9999/TaskB/,97.png,41.png,69.png
http://catamaran2.usc.edu:9999/TaskB/,126.png,29.png,58.png
http://catamaran2.usc.edu:9999/TaskB/,68.png,28.png,82.png
http://catamaran2.usc.edu:9999/TaskB/,15.png,37.png,133.png
http://catamaran2.usc.edu:9999/TaskB/,46.png,117.png,131.png
http://catamaran2.usc.edu:9999/TaskB/,6.png,14.png,22.png
http://catamaran2.usc.edu:9999/TaskB/,51.png,106.png,165.png
http://catamaran2.usc.edu:9999/TaskB/,158.png,94.png,99.png
http://catamaran2.usc.edu:9999/TaskB/,131.png,5.png,63.png
http://catamaran2.usc.edu:9999/TaskB/,84.png,45.png,107.png
http://catamaran2.usc.edu:9999/TaskB/,140.png,2.png,49.png
http://catamaran2.usc.edu:9999/TaskB/,125.png,84.png,114.png
http://catamaran2.usc.edu:9999/TaskB/,176.png,26.png,136.png
http://catamaran2.usc.edu:9999/TaskB/,168.png,20.png,166.png
http://catamaran2.usc.edu:9999/TaskB/,60.png,87.png,121.png
http://catamaran2.usc.edu:9999/TaskB/,81.png,42.png,146.png
http://catamaran2.usc.edu:9999/TaskB/,66.png,61.png,123.png
http://catamaran2.usc.edu:9999/TaskB/,153.png,6.png,172.png
http://catamaran2.usc.edu:9999/TaskB/,141.png,87.png,136.png
http://catamaran2.usc.edu:9999/TaskB/,144.png,76.png,86.png
http://catamaran2.usc.edu:9999/TaskB/,176.png,7.png,73.png
http://catamaran2.usc.edu:9999/TaskB/,81.png,11.png,138.png
http://catamaran2.usc.edu:9999/TaskB/,136.png,98.png,156.png
http://catamaran2.usc.edu:9999/TaskB/,118.png,70.png,102.png
http://catamaran2.usc.edu:9999/TaskB/,4.png,44.png,162.png
http://catamaran2.usc.edu:9999/TaskB/,52.png,5.png,164.png
http://catamaran2.usc.edu:9999/TaskB/,37.png,135.png,164.png
http://catamaran2.usc.edu:9999/TaskB/,132.png,27.png,83.png
http://catamaran2.usc.edu:9999/TaskB/,122.png,134.png,152.png
http://catamaran2.usc.edu:9999/TaskB/,64.png,35.png,137.png
http://catamaran2.usc.edu:9999/TaskB/,153.png,6.png,114.png
http://catamaran2.usc.edu:9999/TaskB/,43.png,38.png,88.png
http://catamaran2.usc.edu:9999/TaskB/,28.png,42.png,53.png
http://catamaran2.usc.edu:9999/TaskB/,29.png,56.png,89.png
http://catamaran2.usc.edu:9999/TaskB/,45.png,53.png,157.png
http://catamaran2.usc.edu:9999/TaskB/,56.png,10.png,116.png
http://catamaran2.usc.edu:9999/TaskB/,61.png,8.png,165.png
http://catamaran2.usc.edu:9999/TaskB/,83.png,66.png,77.png
http://catamaran2.usc.edu:9999/TaskB/,175.png,61.png,162.png
http://catamaran2.usc.edu:9999/TaskB/,131.png,157.png,161.png
http://catamaran2.usc.edu:9999/TaskB/,36.png,6.png,158.png
http://catamaran2.usc.edu:9999/TaskB/,114.png,25.png,178.png
http://catamaran2.usc.edu:9999/TaskB/,23.png,84.png,123.png
http://catamaran2.usc.edu:9999/TaskB/,51.png,54.png,117.png
http://catamaran2.usc.edu:9999/TaskB/,29.png,82.png,174.png
http://catamaran2.usc.edu:9999/TaskB/,152.png,132.png,138.png
http://catamaran2.usc.edu:9999/TaskB/,105.png,53.png,64.png
http://catamaran2.usc.edu:9999/TaskB/,62.png,23.png,58.png
http://catamaran2.usc.edu:9999/TaskB/,96.png,58.png,86.png
http://catamaran2.usc.edu:9999/TaskB/,133.png,122.png,158.png
http://catamaran2.usc.edu:9999/TaskB/,139.png,57.png,134.png
http://catamaran2.usc.edu:9999/TaskB/,95.png,68.png,83.png
http://catamaran2.usc.edu:9999/TaskB/,156.png,126.png,154.png
http://catamaran2.usc.edu:9999/TaskB/,153.png,10.png,131.png
http://catamaran2.usc.edu:9999/TaskB/,99.png,51.png,107.png
http://catamaran2.usc.edu:9999/TaskB/,50.png,108.png,161.png
http://catamaran2.usc.edu:9999/TaskB/,166.png,42.png,112.png
http://catamaran2.usc.edu:9999/TaskB/,167.png,126.png,131.png
http://catamaran2.usc.edu:9999/TaskB/,9.png,83.png,174.png
http://catamaran2.usc.edu:9999/TaskB/,27.png,22.png,147.png
http://catamaran2.usc.edu:9999/TaskB/,60.png,134.png,169.png
http://catamaran2.usc.edu:9999/TaskB/,63.png,80.png,176.png
http://catamaran2.usc.edu:9999/TaskB/,143.png,149.png,154.png
http://catamaran2.usc.edu:9999/TaskB/,21.png,151.png,177.png
http://catamaran2.usc.edu:9999/TaskB/,55.png,94.png,127.png
http://catamaran2.usc.edu:9999/TaskB/,163.png,24.png,42.png
http://catamaran2.usc.edu:9999/TaskB/,6.png,65.png,106.png
http://catamaran2.usc.edu:9999/TaskB/,77.png,43.png,97.png
http://catamaran2.usc.edu:9999/TaskB/,1.png,25.png,38.png
http://catamaran2.usc.edu:9999/TaskB/,104.png,69.png,87.png
http://catamaran2.usc.edu:9999/TaskB/,122.png,119.png,175.png
http://catamaran2.usc.edu:9999/TaskB/,24.png,21.png,110.png
http://catamaran2.usc.edu:9999/TaskB/,161.png,87.png,145.png
http://catamaran2.usc.edu:9999/TaskB/,63.png,29.png,104.png
http://catamaran2.usc.edu:9999/TaskB/,1.png,88.png,150.png
http://catamaran2.usc.edu:9999/TaskB/,177.png,12.png,150.png
http://catamaran2.usc.edu:9999/TaskB/,48.png,59.png,83.png
http://catamaran2.usc.edu:9999/TaskB/,55.png,3.png,38.png
http://catamaran2.usc.edu:9999/TaskB/,157.png,66.png,159.png
http://catamaran2.usc.edu:9999/TaskB/,167.png,71.png,171.png
http://catamaran2.usc.edu:9999/TaskB/,147.png,23.png,125.png
http://catamaran2.usc.edu:9999/TaskB/,78.png,110.png,153.png
http://catamaran2.usc.edu:9999/TaskB/,61.png,65.png,79.png
http://catamaran2.usc.edu:9999/TaskB/,162.png,137.png,145.png
http://catamaran2.usc.edu:9999/TaskB/,132.png,122.png,134.png
http://catamaran2.usc.edu:9999/TaskB/,44.png,18.png,178.png
http://catamaran2.usc.edu:9999/TaskB/,177.png,162.png,171.png
http://catamaran2.usc.edu:9999/TaskB/,175.png,98.png,107.png
http://catamaran2.usc.edu:9999/TaskB/,33.png,10.png,91.png
http://catamaran2.usc.edu:9999/TaskB/,50.png,90.png,130.png
http://catamaran2.usc.edu:9999/TaskB/,94.png,49.png,171.png
http://catamaran2.usc.edu:9999/TaskB/,8.png,24.png,80.png
